vector:
0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,11,2,0,0,0,0,0,0,15,2,20,0,0,0,0,0,0,6,169,3,0,0,0,0,40,166,26,1,0,3,1,3,169,93,0,0,4,9,1,4,169,23,35,3,0,0,0,0,0,1,169,61,0,0,0,0,6,45,119,31,7,36,10,3,56,28,0,0,10,67,25,3,33,1,17,3,0,0,0,0,0,0,169,94,6,0,0,0,0,0,93,56,77,48,7,0,0,0,0,0,76,104,20,0,0,0
23,74,2,0,54,43,0,0,75,10,0,0,48,54,3,6,87,11,0,0,81,86,2,4,5,27,0,0,86,85,0,0,62,118,2,1,20,10,0,0,53,27,1,1,51,66,4,6,118,13,0,0,53,58,3,9,6,1,0,0,118,118,1,1,41,95,0,0,1,1,0,0,52,118,1,1,12,33,5,6,118,8,0,0,21,26,6,23,20,0,0,0,118,118,1,3,4,14,0,0,0,0,0,0,52,118,0,0,0,1,0,1,118,58,0,0,2,5,1,17,29,1,0,0,84,103,3,9
4,0,0,0,0,0,0,0,167,6,0,0,0,0,0,39,162,26,17,1,1,1,1,17,0,7,41,6,3,1,0,0,9,1,0,0,0,0,0,1,167,52,1,0,0,0,2,74,135,31,14,3,8,44,14,44,0,0,19,12,20,21,1,0,5,5,0,0,0,0,0,0,167,167,23,0,0,0,0,3,44,167,167,9,6,15,2,3,0,8,154,39,14,10,0,0,0,0,0,0,0,0,0,0,6,21,2,0,0,0,0,0,1,26,23,0,0,0,0,0,0,2,31,4,0,0,0,0
1,0,0,0,19,22,2,1,3,0,0,0,1,1,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,0,0,0,161,161,10,29,146,3,0,0,15,25,48,161,11,1,0,0,4,96,84,40,0,0,0,0,0,5,3,0,42,3,0,1,161,104,3,12,161,57,2,3,32,24,14,65,54,25,5,20,21,52,28,13,0,0,0,0,0,3,1,0,20,8,3,13,161,35,1,5,161,15,5,6,36,10,1,31,43,9,11,18,1,0,0,2,0,0,0,0,0,0,0,0
138,1,0,2,11,0,0,21,15,0,0,27,138,0,0,4,110,2,0,6,35,0,0,21,47,6,10,11,1,0,0,6,138,13,1,8,20,0,0,8,20,3,1,50,138,0,0,1,138,4,1,13,28,0,0,26,27,1,6,39,14,0,0,8,138,10,1,13,23,0,0,6,26,2,1,43,138,0,0,1,138,16,5,23,21,0,0,6,12,5,16,118,9,0,0,0,138,5,1,7,22,0,0,6,18,1,0,15,126,1,0,2,72,13,5,50,21,0,0,3,1,2,29,138,15,0,0,0
65,0,0,0,5,5,5,132,42,7,0,0,62,23,3,17,125,15,0,0,14,6,1,3,9,0,0,0,132,55,1,2,31,0,0,0,11,10,7,121,35,2,0,0,130,48,4,13,132,8,0,0,18,7,1,9,22,0,0,0,132,81,2,5,28,0,0,1,18,4,3,50,26,1,0,4,132,27,1,6,132,8,0,0,20,7,1,8,35,2,0,0,132,51,1,2,5,0,0,1,17,6,10,20,11,2,0,5,132,16,1,1,132,13,0,1,20,2,0,3,33,2,0,1,132,18,0,1
0,2,1,9,119,29,0,0,25,1,0,7,98,40,4,29,71,2,0,0,0,0,2,119,61,5,0,0,0,0,4,49,0,2,0,1,77,99,0,0,41,1,0,0,76,119,8,17,119,6,0,0,2,7,11,80,28,0,0,0,0,0,42,119,6,53,0,0,23,76,0,0,13,2,0,0,68,119,2,2,119,71,0,0,10,44,4,18,97,57,0,0,0,0,14,59,20,119,0,0,2,10,0,0,6,27,0,0,26,119,0,0,43,53,0,0,23,114,1,1,68,119,0,0,1,4,0,0
0,1,52,24,26,1,0,0,4,2,7,60,133,3,0,0,133,25,0,12,56,0,0,0,60,13,0,1,74,10,0,0,0,13,133,56,4,0,0,0,11,6,38,133,127,0,0,0,133,20,2,29,31,0,0,1,95,11,0,0,67,12,0,0,0,6,74,94,3,0,0,0,38,10,38,133,30,0,0,1,133,14,3,14,4,0,0,17,104,9,0,0,44,11,0,3,0,0,30,88,22,1,0,1,54,6,24,57,3,0,0,56,133,4,1,1,0,0,1,89,67,4,0,0,19,6,0,9
57,2,0,0,0,0,0,1,205,29,0,0,0,0,0,24,91,29,14,0,0,2,27,26,0,6,21,0,0,5,37,0,68,1,0,0,0,0,0,0,205,19,0,0,0,0,0,13,130,25,20,1,0,6,9,15,0,11,39,1,0,5,13,0,65,1,0,0,0,0,0,0,205,1,0,0,0,0,0,21,142,0,0,0,1,16,17,31,1,1,3,1,2,18,17,1,50,1,0,0,0,0,0,0,205,7,0,0,0,0,0,20,129,3,0,0,0,23,18,30,0,0,1,1,1,54,10,0
0,0,0,0,2,9,169,93,2,0,0,1,4,8,169,111,17,1,0,0,6,13,169,164,16,0,0,0,21,47,169,59,0,0,0,34,41,21,82,6,13,3,1,18,41,10,41,6,105,10,0,3,27,5,9,19,40,1,0,0,88,19,2,6,6,6,3,55,29,1,0,1,23,4,1,10,52,7,1,3,126,3,0,1,26,3,0,9,46,1,0,0,100,7,0,2,12,7,2,18,22,0,0,0,21,9,2,18,35,1,0,1,99,18,1,4,17,0,0,1,33,3,0,1,78,6,0,2
2,83,39,23,75,31,2,0,29,115,11,2,1,24,24,2,5,3,0,0,0,43,25,1,0,0,0,0,0,9,3,0,26,42,14,60,136,31,3,5,136,136,8,7,9,6,5,20,61,7,0,0,0,51,46,23,0,0,0,0,0,89,52,3,14,3,30,16,122,116,23,20,136,19,1,1,5,19,21,69,136,21,0,0,0,10,41,25,2,0,0,0,0,39,74,8,3,62,95,28,9,9,3,2,136,94,10,1,1,3,3,9,136,41,0,0,0,1,4,7,21,2,0,0,0,14,28,10
34,6,3,30,36,0,0,10,138,7,2,28,26,0,0,16,81,1,0,33,115,2,1,20,138,6,4,21,30,1,1,58,53,6,1,73,94,0,0,23,138,15,2,34,31,0,0,12,89,2,0,13,111,7,3,39,101,7,6,63,27,2,1,60,51,2,1,79,138,1,0,16,138,19,3,15,19,0,0,9,86,13,7,17,41,3,1,21,37,4,5,75,56,1,0,18,60,2,1,73,106,0,0,8,138,3,1,5,6,0,0,35,35,15,8,15,12,0,0,5,8,4,4,33,29,1,0,6
1,1,5,7,124,77,2,3,1,0,1,7,129,129,20,3,41,2,3,6,8,29,61,129,62,1,1,6,5,27,28,129,0,9,57,29,89,10,0,0,18,14,7,33,129,48,7,5,129,31,4,8,14,9,28,129,49,2,2,28,56,27,24,83,0,12,42,13,19,1,0,0,13,3,8,15,129,96,18,11,129,53,8,2,10,32,25,54,55,40,37,46,80,25,6,12,0,0,1,1,0,0,0,0,0,0,0,1,6,15,6,1,17,26,13,4,3,8,12,7,3,23,75,51,10,1,0,0
10,1,0,0,4,26,87,53,3,8,10,8,25,34,19,5,6,16,6,2,1,0,0,1,0,0,0,0,0,0,0,0,94,25,9,19,53,29,26,45,10,29,22,75,130,43,8,2,130,88,17,14,15,3,7,18,17,1,0,0,0,13,32,12,41,20,29,105,45,2,4,28,17,10,38,130,130,24,4,10,130,32,6,4,17,11,8,51,70,3,0,0,0,17,63,31,3,21,30,130,53,1,1,2,16,43,70,128,24,2,4,8,130,128,11,1,1,0,1,7,117,41,2,4,3,3,9,12
0,1,1,48,136,15,0,0,46,79,11,14,73,7,0,0,136,136,1,0,0,1,2,2,43,36,2,0,0,27,15,3,0,0,0,53,127,40,2,0,62,11,1,10,56,61,8,4,136,45,0,0,2,4,3,17,136,34,0,0,0,5,5,8,0,0,0,21,90,75,5,1,26,0,0,7,14,58,57,35,136,39,0,0,0,6,46,42,136,36,0,0,0,0,0,5,0,1,3,2,25,136,29,1,18,0,0,1,2,55,63,34,66,11,0,0,0,2,31,50,85,52,0,0,0,0,2,11
76,99,7,14,6,0,0,0,17,16,7,94,101,0,0,1,111,10,5,18,17,14,19,38,7,0,3,8,18,120,38,9,47,120,14,17,16,0,0,1,45,48,11,86,98,1,0,2,120,31,6,14,12,3,4,14,32,7,31,42,4,56,21,5,54,86,6,14,80,5,0,3,74,63,2,14,45,16,12,33,120,22,26,44,15,7,7,56,21,10,87,120,7,1,6,22,40,34,0,4,120,7,1,2,120,74,0,0,1,2,5,28,38,5,3,19,31,65,20,44,58,12,15,25,21,56,23,55
6,7,32,21,40,8,1,7,39,58,23,1,1,1,2,48,85,125,5,0,0,0,1,18,22,125,32,1,0,0,0,0,5,86,74,15,22,11,1,2,24,110,75,13,0,0,1,11,125,125,17,0,0,0,0,12,77,30,9,2,13,13,2,11,20,52,7,1,67,89,2,1,81,74,12,6,1,2,1,34,125,31,1,0,0,0,0,55,110,10,0,1,21,15,3,11,3,4,1,0,80,125,6,1,72,72,2,0,10,28,13,8,125,125,3,0,0,0,1,7,76,83,2,0,2,2,3,15
33,61,15,0,0,0,1,29,67,125,12,0,0,0,0,6,16,125,37,1,1,0,0,0,40,125,2,0,0,0,0,0,39,85,43,7,0,0,0,12,125,71,5,0,2,4,1,14,56,66,10,2,25,20,2,8,125,117,0,0,1,1,0,4,94,51,3,2,1,1,1,30,125,31,0,0,2,1,0,25,60,11,0,0,26,22,10,48,125,7,0,0,1,2,3,100,62,52,1,0,3,24,26,7,98,125,9,0,0,1,3,1,78,118,3,0,1,1,4,50,70,35,3,0,0,0,1,85
56,1,0,0,58,28,54,36,141,1,0,0,32,17,18,83,103,4,9,57,9,1,8,29,0,0,12,65,42,5,3,0,101,5,0,1,99,5,0,9,141,9,2,8,60,2,0,27,92,14,17,135,64,0,0,8,15,24,22,44,41,1,0,0,106,24,0,3,71,9,1,5,141,30,9,34,47,9,2,24,54,41,27,141,54,0,0,0,56,59,13,46,33,0,0,0,104,40,1,1,17,8,1,4,70,8,3,31,38,6,2,21,46,8,4,72,72,0,0,12,57,14,4,44,35,0,0,10
54,122,13,0,0,0,0,0,48,122,0,0,0,1,5,2,45,88,0,0,0,14,42,6,7,5,0,0,0,40,81,3,122,65,2,0,0,0,0,9,121,98,0,0,0,0,1,15,122,112,0,0,0,0,0,9,53,10,0,1,1,1,5,8,122,32,0,0,0,4,4,17,122,23,0,0,0,0,3,82,122,7,0,0,0,0,1,122,52,1,0,1,6,5,1,28,50,46,0,0,0,57,39,5,112,122,2,0,0,4,5,22,73,122,18,0,0,0,0,45,11,35,23,1,2,1,0,10
