vector:
33,7,0,4,90,28,4,8,132,25,0,0,15,38,57,41,132,19,0,0,4,25,20,24,132,21,0,0,0,0,0,18,28,8,0,5,96,40,2,5,132,43,0,1,24,32,10,27,132,24,0,0,9,53,18,14,132,58,0,0,0,0,0,2,6,0,0,0,24,67,12,11,132,22,0,0,7,30,18,56,98,21,0,0,36,53,5,7,132,64,0,0,4,4,0,1,0,0,0,0,3,23,4,1,47,73,17,9,26,22,4,3,37,110,80,21,29,15,0,1,102,94,19,8,8,3,0,0
0,0,0,0,33,85,11,1,135,14,0,0,1,15,19,14,135,36,0,0,0,2,2,4,32,5,0,0,0,46,30,8,0,0,0,0,28,118,64,6,101,5,0,0,0,60,115,36,135,41,0,0,0,2,6,17,99,12,0,0,0,0,3,13,36,1,0,0,34,44,31,42,49,1,0,0,3,135,125,58,135,9,0,0,2,42,26,42,132,18,0,0,0,0,0,5,71,16,0,0,49,17,1,7,124,32,0,0,24,82,21,14,36,3,0,0,20,66,17,27,82,23,0,0,0,0,0,3
0,0,0,0,0,0,0,0,17,13,6,5,3,2,17,40,143,30,4,1,0,0,2,111,81,4,3,9,13,9,5,49,0,0,0,1,11,0,0,0,21,50,41,85,118,1,1,3,148,148,35,19,9,0,0,10,97,36,22,55,21,5,2,4,0,0,0,1,27,7,0,0,45,6,3,25,148,69,8,32,148,43,6,7,22,13,5,98,81,65,13,8,14,11,18,9,0,0,0,0,13,6,0,0,25,6,2,13,99,71,10,22,148,28,8,8,17,14,7,61,20,90,40,9,13,6,8,12
24,0,0,5,82,2,0,5,151,1,0,0,1,0,0,50,151,29,18,2,0,0,0,19,23,64,35,1,0,0,0,0,49,3,0,9,108,3,0,3,151,10,3,3,1,0,0,31,92,26,83,81,4,0,1,5,0,85,151,27,0,1,6,0,70,2,1,35,75,0,0,2,151,11,2,6,2,0,1,15,35,8,10,52,17,7,56,46,0,12,18,10,3,25,118,19,71,2,0,18,31,0,0,1,151,1,0,0,0,0,1,22,52,4,8,18,0,1,20,76,1,1,45,77,5,13,30,13
66,19,0,0,83,51,1,2,107,37,3,26,54,23,6,3,18,6,4,27,49,31,63,30,118,15,2,1,0,1,15,77,41,2,0,0,118,90,4,7,118,9,0,0,7,45,28,27,23,0,0,0,4,116,102,35,90,16,3,2,1,9,40,102,11,0,0,0,92,105,14,7,118,7,0,0,2,22,25,38,87,4,0,0,0,51,99,49,8,0,0,0,0,6,79,118,4,0,0,0,26,59,28,8,77,2,0,0,0,14,72,46,118,7,0,0,0,1,5,25,25,1,0,0,0,1,2,29
6,0,0,4,129,5,0,1,129,24,3,2,37,1,0,9,84,115,34,0,0,0,0,1,35,103,17,0,0,0,0,1,11,2,0,35,129,2,0,0,129,20,4,14,36,0,1,11,29,66,60,41,4,3,5,8,44,129,52,7,0,0,0,0,14,0,0,14,129,12,0,2,129,15,6,25,37,8,1,11,27,18,44,113,26,11,9,11,129,52,18,7,0,0,2,30,6,0,0,2,129,21,1,6,75,1,0,2,22,27,14,52,14,1,0,5,14,59,56,40,70,2,0,0,0,1,12,97
13,6,28,117,38,18,12,7,39,21,25,38,16,15,13,21,117,76,7,7,4,5,3,2,16,13,5,93,35,0,0,0,38,34,48,111,15,0,0,6,77,49,70,75,10,4,4,21,117,64,18,42,9,2,1,5,14,12,7,117,64,0,0,0,5,25,21,19,34,15,11,14,48,30,49,15,0,0,9,117,117,9,4,61,36,0,1,92,7,4,4,117,76,0,0,0,1,0,0,0,7,24,117,48,3,0,0,5,8,2,73,117,6,0,0,103,93,1,7,46,13,4,3,76,47,0,0,3
0,0,0,3,7,1,1,0,6,6,4,62,81,9,1,1,139,31,6,21,21,6,3,30,38,16,10,14,56,10,4,13,0,4,6,15,28,0,0,0,28,15,7,137,139,0,0,1,139,65,7,30,20,0,0,7,60,9,0,1,23,18,30,29,0,29,69,45,23,0,0,0,51,5,15,132,139,4,0,25,139,20,1,6,12,2,0,70,113,5,0,0,0,1,40,93,0,3,12,14,1,0,0,0,34,8,7,40,8,0,0,5,139,89,0,0,0,0,0,12,111,109,14,1,0,0,4,24
4,0,0,9,130,2,0,1,134,0,0,2,49,3,0,29,134,0,0,0,0,0,0,19,49,0,0,0,0,0,0,14,10,0,0,17,134,0,0,1,134,10,0,5,46,0,0,24,134,26,0,0,0,0,0,14,61,5,0,0,0,0,0,9,16,1,0,19,134,0,0,1,134,61,8,7,35,0,0,6,60,134,40,3,0,0,0,1,34,114,9,3,0,0,0,1,16,1,0,21,132,2,0,1,86,16,17,27,21,3,1,6,66,85,48,26,2,2,1,11,115,82,3,5,5,0,0,3
1,1,60,31,0,0,34,58,5,2,14,15,0,0,80,127,11,2,1,1,0,0,127,127,1,0,0,0,0,0,99,127,3,10,7,0,1,6,97,118,29,29,3,1,12,28,47,65,127,40,1,0,1,1,14,73,24,0,0,0,0,0,26,81,7,110,106,4,2,3,7,11,40,65,38,14,27,20,3,2,127,10,2,2,4,2,0,41,58,0,0,0,0,0,20,78,24,42,19,2,5,8,24,44,60,46,14,2,0,0,14,71,127,4,1,0,0,0,2,92,71,0,0,0,0,0,5,48
